, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n
107, ,01/02/2019,Hung Hom,"No. 0036, Winner Building, Man Yue Street, Hung Hom, Kowloon",G,E,7535,143165.0,@$19,Market,"(837508, 818838)"
108, ,01/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",1,E16,172,3440.0,@$20,Market,"(841321, 818989)"
109, ,01/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",1,E20,190,3800.0,@$20,Market,"(841321, 818989)"
110, ,01/02/2019,Kwun Tong,"No. 0116/0118, Manning Industrial Building, How Ming Street, Kwun Tong, Kowloon",8,D28,77,2300.0,@$30,Market,"(841160, 819123)"
111, ,01/02/2019,Kowloon Bay,"No. 0019, Kenning Industrial Building, Wang Hoi Road, Kowloon Bay, Kowloon",G,2,3431,220000.0,@$64,Land Registry,"(839729, 820533)"
112, ,01/02/2019,Kwai Chung,"ATL-B (Asia Terminals Centre), Container Terminal 3, Kwai Chung, New Territories",9,E01-E09,66189,1130000.0,@$17,Market,"(830925, 822691)"
113, ,01/02/2019,Tuen Mun,"No. 16, Pahsang Industrial Building, San On Street, Tuen Mun, New Territories",UG,A02,4350,39150.0,@$9,Market,"(815053, 828087)"
114, ,01/02/2019,San Po Kong,"No. 0031/0033, Wing Hin Factory Building, Ng Fong Street, San Po Kong, Kowloon",10,E(09),70,4000.0,@$57,Market,"(838738, 822085)"
115, ,01/02/2019,Kwai Chung,"ATL-B (Asia Terminals Centre), Container Terminal 3, Kwai Chung, New Territories",13,W14-W17,10980,153720.0,@$14,Market,"(830925, 822691)"
116, ,01/02/2019,Shek Mun,"No. 1, Kings Wing Plaza 2, On Kwan Street, Shek Mun, New Territories",2,217,415,16000.0,@$39,Market,"(839502.7, 827757.8)"
117, ,01/02/2019,San Po Kong,"No. 0018, Lead On Industrial Building, Ng Fong Street, San Po Kong, Kowloon",8,(05),219,4300.0,@$20,Market,"(838662, 822073)"
118, ,01/02/2019,San Po Kong,"No. 0018, Lead On Industrial Building, Ng Fong Street, San Po Kong, Kowloon",8,(57),283,4880.0,@$17,Market,"(838662, 822073)"
119, ,01/02/2019,Cheung Sha Wan,"No. 750, Kwong Tai Factory Building, Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",4,21,177,3150.0,@$18,Market,"(833621, 822183)"
120, ,02/02/2019,Western,"Shop 9 on G/F, , No.0138 Third Street, Western, Hong Kong",-,-,230,11000.0,@$48,Market,"(830295, 824554)"
